Artist Display Name,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender
Edouard Traviès,French,1809,1865,
Schneider & Legrand,French,,,
J.-J. Dubochet & Cie,French,,,
Jules David,French,1808,1892,
Albert Robida,French,1848,1926,
Librairie Illustrée,French,,,
Charles Herissey,French,,,
Morizot,French,,,
"F. Chardon, Ainé",French,1820,1860,
Rastall & Son,British,,,
Adolphe Rouargue,French,1810,,
P. Christian,French,,,
Lucien Marcelin Gautier,French,1850,1925,
Novion,French,,,
Lavigne,French,,,
Ernst Theodor Amadeus Hoffman,German,1776,1822,
Béthune & Plon,French,1800,1900,
P.-M. Laurent de l'Ardeche,French,,,
Imprimerie et Fonderie de A. Everat,French,,,
Jean de La Fontaine,French,1621,1695,
Camille-Joseph-Etienne Roqueplan,French,1803,1855,
Achille-Jacques-Jean-Marie Devéria,French,1800,1857,
Theophile-Evariste-Hippolyte Fragonard,French,1806,1876,
Ange-Louis Janet-Lange,French,1815,1872,
François-Louis Français,French,1851,1934,
Eugène Laville,French,1814,1869,
Edouard Wattier,French,1793,1871,
Adrien Feart,French,1813,1913,
Henri Beyle Stendahl,French,1783,1842,
Francisque Sarcey,French,,,
Jean-Antoine-Valentin Foulquier,French,1822,1896,
L. Conquet,French,,,
A. Lahure,French,,,
"H. Fournier, Ainé",French,,,
Marie-Joseph Süe,French,1804,1857,
"MM. Best, Leloir, Hotelin et Régnier",,,,
"Paulin, Librairie-Editeur",French,,,
Johann Wolfgang von Goethe,German,1749,1832,
Pierre Lafitte,French,,,
Edouard Pelletan,French,,,
Eugène Froment,French,1844,1926,
Societé Typographique de Châteaudun,French,,,
Hermann Vogel,German,1856,1918,
"E. Plon et Cie., Paris",French,1840,1900,
Frans Boudewyns,Flemish,1720,1766,
Hans Bol,Netherlandish,1534,1593,
Anthonie van Borssom,Dutch,1631,1677,
Johannes Bosboom,Dutch,1817,1891,
Jan Both,Dutch,1618,1652,
Leonaert Bramer,Dutch,1596,1674,
Bartholomeus Breenbergh,Dutch,1598,1657,
"Henri III, King of France and Poland",French,1551,1589,
Paul Bril,Netherlandish,1553,1626,
"Anonymous, Netherlandish, 16th century",Netherlandish,1500,1600,
Gillis van Coninxloo,Netherlandish,1544,1607,
Matthijs Bril the Younger,Netherlandish,1550,1583,
Jan Brueghel the Elder,Netherlandish,1568,1625,
Hinds & Ketcham,American,1850,1920,
New York Ledger,American,1855,1898,
Jan Brueghel the Younger,Flemish,1601,1678,
Herman Saftleven II,Dutch,1609,1685,
Ellery-Howard Co.,American,1895,1915,
The Master of the Small Landscapes,Netherlandish,1500,1600,
Pieter Brueghel the Younger,Netherlandish,1565,1638,
Joos van Liere,,,1583,
Georges Courteline,French,1858,1929,
Henri-Louis Dupray,French,1841,1909,
Emile Testard,French,,,
Pierre-Jules-Theophile Gautier,French,1811,1872,
Georges-Antoine Rochegrosse,French,1859,1938,
Marcel Schwob,French,1867,1905,
L. Gruel,French?,,,
A. Ferroud,French,,,
Louis Morin,French,1855,1938,
Maurice Tourneux,French,1849,1906,
Charles Arthur Cox,American,1890,1899,
O. C. Malcolm,American,1850,1950,
A. Le Petit,French,1829,1846,
Walter Robert Brandard,British,1842,1869,
James Tingle,British,1790,1860,
Roberts Sands,British,1792,1855,
Thomas Abiel Prior,British,1809,1886,
M. J. Starling,British,1829,1843,
Ebenezer Challis,British,1836,1880,
Louis de Sivry,French,1800,1900,
Major Richard Irton,British,1840,1860,
William Leighton Leitch,"British, Scottish",1804,1883,
George D. Thompson,British,1770,1870,
Johann Jakob Wolfensberger,Swiss,1797,1850,
Berlin-Leprieur,French,1800,1900,
James Sands,British,1811,1844,
William Henry Capone,British,1832,1855,
John Montgomery Flagg,American,1877,1960,
"Anonymous, American, 19th century",American,1800,1900,
Century Magazine,,,,
Julien Leblant,French,1851,1936,
Henri Toussaint,French,1849,1911,
Maison Quantin,French,1800,1900,
Robert Lynch,British,1850,1900,
Geoffroy Saint-Hilaire,French,1772,1844,
Eugène-Michel-Joseph Abot,French,1836,1894,
Albert-Auguste Fourié,French,1854,1896,
D. Mondant,French,,,
Marie-Antoine-Jules Senard,French,,,
Maurice Poirson,French,1850,1882,
Marie Louveau-Rouveyre,French,,,
Louis Muller,French,,,
Gustave Mercier,French,1858,1898,
Georges-Jules-Auguste Cain,French,1856,1919,
Eugène Gaujean,French,1850,1900,
Adolphe-Alphonse Géry-Bichard,French,1841,1841,
Octave Feuillet,French,1821,1890,
Stanislas Rejchan,French,1858,1919,
Emile-Florentin Daumont,French,1834,1909,
Claire Duvivier,French,1846,1897,
Jean-Bernard Mary-Lafon,French,1812,1884,
"Michel Lévy, Frères",French,,,
A. Moussin,French,,,
Jean-François Gigoux,French,1806,1894,
Peter Abelard,French,1079,1142,
Heloïse d’Argenteuil,French,1101,1164,
E. Oddoul,French,,,
M. Guizot,French,,,
Mme Guizot,French,,,
"Houdaille, E.",French,,,
Imprimerie Lacrampe,French,,,
Armand Silvestre,French,1921,9999,
Charles Delgrave,French,,,
"Gauthier, A. et Compagnie, Imprimerie",French,,,
Mme. Charles Delgrave,French,,,
Alfred Grévin,French,1827,1892,
"Plon, Henri",French,,,
Clément-Edouard Bellenger,French,1851,1925,
Maurice Leloir,French,1853,1940,
Léon Du Paty,French,,,
Auguste Gérardin,French,1849,1849,
Norbert Goeneutte,French,1854,1894,
Henri Lefont,French,,,
Georges Clairin,French,1843,1919,
Albert Bellenger,French,1846,1914,
Georges Bellenger,French,1847,1918,
Alfred Mouillon,French,1832,1886,
C. Marpon et E. Flammarion,French,,,
Daniel Vierge (Urrabieta y Vierge),Spanish,1851,1904,
Francesco Algarotti,Italian,1712,1764,
Armand Barthet,French,,,
Aurélie de Soubiran,French,,,
Pietro Scattaglia,Italian,1739,1810,
Alessandri e Scattaglia,Italian,1750,1800,
Giovanni Antonio Gabriel,Italian,,,
Garnier Frères,French,,,
Emile Vitta,French,,,
Adolphe-Léon Willette,French,1857,1926,
Léon Vanier,French,,,
Paul Schmidt,French,,,
"Peter Candid (Pieter de Witte, Pietro Candido)",Netherlandish,1548,1628,
Jacob Cats,Dutch,1741,1799,
Hendrick de Clerck,Netherlandish,1570,1570,
Jan Wellens de Cock,Netherlandish,1480,1527,
Matthijs Cock,Netherlandish,1509,1548,
Cornelis Cornelisz van Haarlem,Netherlandish,1562,1638,
Adélaïde Labille-Guiard,French,1749,1803,Female
Marie Gabrielle Capet,French,1761,1818,Female
Antonio d'Enrico Tanzio (Tanzio da Varallo),Italian,1575,1633,
Anton Crussens,Flemish,1625,1675,
Aelbert Cuyp,Dutch,1620,1691,
Filippino Lippi,Italian,1457,1504,
Antonio Baratti,Italian,1724,1787,
Tommaso Giuseppe Farsetti,Italian,,,
Paolo Colombani,Italian,,,
Marcus Aurelius Olympius Nemesianus,Italian,1400,1499,
Jacob van der Does,Dutch,1623,1673,
Simon van der Does,Dutch,1653,1717,
Lambert Doomer,Dutch,1624,1700,
Eduard Dubois,Flemish,1619,1697,
Pierre Louis Dubourcq,Dutch,1815,1873,
Abraham Rademaker,Dutch,1675,1735,
Luigi Pavini,Italian,,,
Lodovico Manin,Italian,1726,1803,
Francesco Morosini,Italian,,,
Federico Bencovich,Italian,1677,1756,
Lodovico Furlanetto,Italian,1766,1777,
Giovanni Battista Brustolon,Italian,1712,1796,
Canaletto (Giovanni Antonio Canal),Italian,1697,1768,
René Charpentier,French,1680,1723,
Louis Lourine,French,,,
James Tissot,French,1836,1902,
Charles Lemoine,French,,,
Alfred Mame et Fils,French,,,
Charles de Wailly,French,1730,1798,
"Anonymous, Netherlandish, late 16th century",Netherlandish,1550,1600,
"Anonymous, Dutch, 17th century",Dutch,1600,1700,
Allart van Everdingen,Dutch,1621,1675,
"Anonymous, Netherlandish, 17th century",Netherlandish,1600,1700,
"Anonymous, Dutch, 18th century",Dutch,1700,1800,
Willem van de Velde II,Dutch,1633,1707,
"Anonymous, Flemish, 18th century",Flemish,1700,1800,
Jan Cossiers,Flemish,1600,1671,
"Anonymous, Flemish, 17th century",Flemish,1600,1700,
Giovanni Cattini,Italian,1715,1800,
Jacques-Albin-Simon Collin de Plancy,French,1794,1881,
Charles Rochussen,French,1824,1894,
Societé Néerlandaise des Beaux-Arts,Dutch,,,
Luca Carlevaris,Italian,1663,1730,
Giovanni Battista Finazzi,Italian,1650,1750,
Matías Arteaga y Alfaro,Spanish,1633,1703,
Jean-Jacques Grandville,French,1803,1847,
George Moir Bussey,British,1807,1864,
Willoughby & Co.,British,1800,1900,
Giovanni David,Italian,1749,1790,
François de Salignac de La Mothe-Fénelon,French,1651,1715,
Jean-Alfred-Gérard Seguin,French,1805,1875,
Alcide-Joseph Lorentz,French,1813,1813,
Giovanni Antonio Faldoni,Italian,1690,1770,
Marco Ricci,Italian,1676,1730,
Léon Duval-Gozlan,French,1853,1941,
Maurice Sand,French,1823,1889,
Henri Delaville,French,,,
Francisco Bayeu y Subias,Spanish,1734,1795,
Edouard Ourliac,French,1813,1848,
Pierre-Eugène Lacoste,French,1818,1908,
Anton Maria Zanetti the Elder,Italian,1680,1767,
Alphonse Karr,French,1808,1890,
Eugène Feyen-Perrin,French,1815,1908,
Francesco Fontebasso,Italian,1707,1769,
Sebastiano Ricci,Italian,1659,1734,
Etienne Frédéric Lignon,French,1779,1833,
Aimé-Martin,French,,,
P. L. Lemontey,French,,,
Imprimerie de Lebel,French,,,
Anne Louis Girodet-Trioson,French,1767,1824,
Jacques Bernadin Henri de Saint Pierre,French,1737,1814,
Ulysse-Louis-Auguste Butin,French,1838,1883,
E. Martinet,French,,,
Alphonse Daudet,French,1840,1897,
H. Duvivier,French,,,
Louis Montégut,French,1855,,
Stéphane Mallarmé,French,1842,1898,
Edgar Allan Poe,American,1809,1849,
Georges-Ferdinand Bigot,French,1860,1927,
Francisco Camilo,Spanish,1615,1673,
Lorenz Frølich,Danish,1820,1908,
Sebastián de Herrera-Barnuevo,Spanish,1619,1671,
Isaak Ehe,German,1586,1632,
Clemens Wenzel Coudray,German,1775,1845,
Bartolomé Carducho,Spanish,1560,1608,
Vicente Carducho,Italian,1570,1638,
W. E. Cyrenius,Austrian?,1900,1960,
Franz von Bayros,Austrian,1866,1924,
Juan Carreño de Miranda,Spanish,1614,1685,
E. Ender,Austrian?,,,
Carl Alexander von Heideloff,German,1789,1865,
Antonio del Castillo y Saavedra,Spanish,1616,1668,
Patrizio Cajés,Italian,1540,1612,
Davide Antonio Fossati,Italian,1708,1791,
Eduard Hildebrandt,German,1818,1869,
Walter Hampel,Austrian,1868,1949,
José Benito Churriguera,Spanish,1664,1725,
Karl Wolfgang Böhmer,German?,20,20,
Claudio Coello,Spanish,1642,1693,
Matías de Torres,Spanish,1635,1711,
Abraham Drentwett the Elder,German,1647,1727,
Johann Melchior Füssli,Swiss,1677,1677,
Johann Jakob Scheuchzer,,,,
Johann Wolfgang Baumgartner,German,1712,1761,
Luis Falero,Spanish,1851,1896,
Rudolf Köselitz,German,1861,1948,
Quentin Pierre Chedel,French,1705,1763,
Jean-Baptiste-Claude Chatelain,"British, French",1705,1758,
J. Desmarets,French,,,
J. J. Weber'sche Buchhandlung,German,,,
"F. A. Brockhaus, Leipzig",German,,,
Edouard Fournier,French,,,
Geffroy Edmond,French,1804,1895,
"Laplace, Sanchez, et Cie",French,,,
"Viéville et Capiomont, Imprimerie",French,,,
Charles Vincent,French,1862,1918,
Charles Caisse,French,1862,1904,
Alfred-Jean-Marie Paris,French,1846,1908,
Pierre Maël,French,,,
Librairie de L. Hachette et Cie,French,19,19,
Miguel de Cervantes Saavedra,Spanish,1547,1616,
Jacques Marquet de Norvis,French,1769,1854,
Furne et Cie.,French,,,
Marius Sepet,French,1845,,
Jean Mielot,French,,,
Emile Erckmann,French,1822,1899,
Jules-Théophile Schuler,French,1821,1878,
Edouard Riou,French,1833,1900,
Bertold Löffler,Austrian,1874,1960,
Ferdinand Michl,Czech,1877,1951,
Otto Friedr. Carl Lendecke,Austrian,1886,1918,
Antoine-Claude Fleury,French,1795,1822,
Heinrich Krenes,Austrian,1874,1913,
Giuliano Giampiccoli,Italian,1703,1759,
Jean François Forty,French,1775,1790,
Laurent Hubert,French,1780,1780,
Charles C...,French,,,
Damascène Morgand et Charles Fatout,French,,,
L. Danel,French,,,
D. Weber,French,,,
Charles Manso,French,,,
Alfred-Briend,French,1850,1900,
Christian Gottlob Mietzsch,German,1742,1799,
Heinrich Lefler,Austrian,1863,1919,
Lilly Jacker,Austrian,1930,1930,Female
Ephraim Mose Lilien,Austrian,1874,1925,
Jean Jacques Huvé,French,1742,1808,
Paul Guillaume Lemoine,French,1755,,
Adrien Louis Marie Cavelier,French,1785,1867,
Hubert François Gravelot,French,1699,1773,
Gerbrand van den Eeckhout,Dutch,1621,1674,
Adolf Böttger,German,,,
Friedrich Fleischer,German,,,
Breithops,German,,,
Jules Barbey d'Aurivelly,French,1811,1911,
Félix-Hilaire Buhot,French,1847,1898,
David Bogue,British,1807,1856,
G. Barclay,British,1850,1860,
A. Beuguelet,French,,,
Jean de La Bruyère,French,1645,1696,
V. Cherin,French,,,
"Olivier-Fulgence et Compagnie, Imprimerie",French,,,
Hector Giacomelli,French,1822,1904,
Georges Rémon,French,,,
Ernst Wasmuth,German,1872,1999,
Jacob Esselens,Dutch,1626,1687,
John Baptist Jackson,British,1701,1780,
Jacopo Bassano (Jacopo da Ponte),Italian,1510,1592,
Casper van Eyck,Flemish,1613,1673,
Albert Flamen,Flemish,1615,1688,
Jan de Beer,Netherlandish,1475,1528,
Cornelis de Vos,Flemish,1584,1651,
Jules Rambosson,French,1824,,
William Freeman,British,1800,1900,
Gerlier,French,1826,1826,
Dieudonné-Auguste Lancelot,French,1822,1894,
Etienne Huyot,French,1808,1808,
"Firmin Didot Frères, Fils & Cie.",French,,,
Denijs Calvaert,Netherlandish,1540,1619,
Michel Eugène Chevreuil,French,1786,,
Antoine-René Digeon,French,1844,1844,
Lamoureux,French,1800,1900,
J. B. Balière et Fils,French,,,
Govert Flinck,Dutch,1615,1660,
Henry William Batley,British,1846,1932,
"Elizur Wright, Jr.",American,1800,1900,
Tappan and Dennet,American,1800,1900,
W. A. Coleman,American,1800,1900,
Jo Hedley,British,,,
F. Francke,German,,,
Adolphe Dupray,French,,,
"Ackermann & Co., London",British,1829,1855,
Breitkopf & Härtel,German,,,
Jacques de Gheyn II,Netherlandish,1565,1629,
Giran Max,Dutch,,,
Giacomo Leonardis,Italian,1723,1794,
Pietro Antonio Novelli,Italian,1729,1804,
Torquato Tasso,Italian,1544,1595,
Antonio Groppo,Italian,1606,1680,
Bernardo Castello,Italian,1557,1629,
Jan van Goyen,Dutch,1596,1656,
Josua de Grave,Dutch,1643,1712,
Pieter de Groot,Dutch,1742,,
Giovanni Domenico Tiepolo,Italian,1727,1804,
Alessandro Longhi,Italian,1733,1813,
Pietro Longhi (Pietro Falca),Italian,1701,1785,
Niccolo (Nicolaus) Bambini,Italian,1651,1736,
Gregorio Lazzarini,Italian,1655,1730,
Giambettino Cignaroli,Italian,1706,1770,
Giovanni Battista Pittoni,Italian,1687,1767,
Gaspare Diziani,Italian,1689,1767,
Giussepe Nogari,Italian,1699,1766,
Giuseppe Camerata,Italian,1668,1761,
Giuseppe Angeli (Angioli),Italian,1712,1798,
Domenico Maggiotto,Italian,1712,1794,
Antonio Marinetti,Italian,1710,1796,
Fabio Canal,Italian,1703,1767,
Francesco Zugno,Italian,1709,1787,
Francesco Polazzo,Italian,,,
Michele Marieschi,Italian,1710,1743,
Jacopo Guarana,Italian,1720,1808,
Pietro Monaco,Italian,1707,1772,
Marco Alvise Pitteri,Italian,1702,1786,
Giambattista Pasquali,Italian,1730,1790,
Angela Baroni,Italian,1700,1800,
Henri Murger,French,1822,1861,
Jean Dratz,French,,,
Editions Nilsson,,1885,1934,
Ramlot et Compagnie,French,,,
Maistre de Sacy Royaumont,French,,,
Henri-Léon Curmer,French,1801,1870,
Emile-Charles Wattier,French,1800,1868,
Jean-François Bloisselat,French,1812,1851,
Alexandre-Gustave-Adolphe Levasseur,French,19,19,
Coindre,French,,,
Tellier,French,1830,1840,
Camille Rogier,French,1810,1893,
Jean Best,French,1808,1879,
Henri Guillaume Chatillon,French,1780,1856,
Léon-Emmanuel-Joseph-Simon de Laborde,French,1807,1869,
Brocas,French,,,
Philibert Langlois,French,1834,1839,
Joseph-Marie Foussereau,French,1809,1809,
Antoine Laurent Thomas Vaudoyer,French,1756,1846,
Mlle. Langlois,French,,,
Louis Marckl,French,1807,1807,
Victor Adam,French,1801,1866,
Théodore Gericault,French,1791,1824,
Giambattista Albrizzi,Italian,,,
Egbert Jasperszoon van Heemskerck I,Dutch,1634,1705,
Jacob van der Heyden,Flemish,1573,1645,
Samuel van Hoogstraten,Dutch,1627,1678,
Constantijn Huygens the Younger,Dutch,1628,1697,
Filippo Rizzi,Italian,1727,,
Francesco Guardi,Italian,1712,1793,
Jan van Huysum,Dutch,1682,1749,
Giovanni Boldini,Italian,1842,1931,
Martin Schedl,Austrian,1677,1748,
Lorenzo Tiepolo,Italian,1736,1776,
Jozef Israëls,Dutch,1824,1911,
Johan Barthold Jongkind,Dutch,1819,1891,
Antonio Maria Visentini,Italian,1688,1782,
Carlo Bianconi,Italian,1732,1802,
Hans Jordaens III,Flemish,1595,1643,
Jacob Jordaens,Flemish,1593,1678,
Joris Hoefnagel,Netherlandish,1542,1600,
Jean-Louis Forain,French,1852,1931,
H. Simonis Empis,French,,,
Michelet,French,,,
Jules Rougeron,French,1841,1880,
Serp,French,,,
Pierre-Roch Vigneron,French,1789,1872,
"Charles Blot, Imprimerie",French,,,
A. Dinaux,French,,,
W. Marks,French?,,,
Ernest Vanackere,French,,,
John G. Edgar,British,1834,1864,
Robert Charles Dudley,British,1826,1909,
Emile-Theodore Therond,French,1821,1821,
Samuel Orchart Beeton,British,1831,1877,
Stephen Austin,British,1800,1900,
Paul-Emile-Daurand Forgues,French,1813,1883,
Wilhelm Krigar,German,,,
W. Moeser,German,,,
Charles Jervas,British,1675,1739,
Norman,British,1800,1900,
Gaetano Gherardo Zompini,Italian,1700,1778,
Scipione Maffei,Italian,1675,1755,
Jacopo Vallarsi,Italian,,,
Pierantonio Berno,Italian,,,
Marzio Dall'Acqua,Italian,,,
Francesco Zucchi,Italian,1692,1764,
Paolo Rolli,Italian,1687,1765,
Giannalberto Tumermani,Italian,,,
Joseph Addison,British,1672,1719,
Carlo Alberto Baratta,Italian,1754,1815,
Bartolomeo Biscaino,Italian,1629,1657,
Daman,French,1600,1699,
Luca Cambiaso,Italian,1527,1585,
Giovanni Agostino Cassana,Italian,1665,1720,
Giovanni Battista Cassana,Italian,1668,1738,
Valerio Castello,Italian,1624,1659,
Giovanni Francesco Castiglione,Italian,1641,1710,
Giovanni Benedetto Castiglione (Il Grechetto),Italian,1609,1664,
"Matthys van de Merwede, Lord of Clootwyck",Dutch,1625,1677,
Salvatore Castiglione,Italian,1620,1676,
Mari ten Kate,Dutch,1831,1910,
Pieter Soutman,Dutch,1580,1657,
Pieter de Kempeneer,Flemish,1503,1580,
"Anonymous, 17th century",,1600,1700,
Hendrick Keun,Dutch,1738,1787,
Thomas de Keyser,Dutch,1596,1667,
Josephus Augustus Knip,Dutch,1777,1847,
Philips Koninck,Dutch,1619,1688,
Matthias Wolf,German,1685,1716,
Matthais Wolcker,German,1730,1742,
Paul Scheurich,American German,1883,1945,
Hans Schliessmann,German,1892,1920,
Christian Bernhard Rode,German,1725,1797,
Karl Wagner,German,1839,1923,
Richard Teschner,Austrian,1879,1948,
Franz Wacik,Austrian,1883,1938,
Willy Stieborsky,Austrian,1881,1966,
Franz Sigrist,Austrian,1727,1803,
Hugo Steiner-Prag,Czech,1880,1945,
Johann Martin Usteri,Swiss,1763,1827,
Hans Ulrich Fisch vom Stein I,Swiss,1583,1647,
Eduard Josef Wimmer,Austrian,1882,1961,
Reinhold Vetter,German,1877,1961,
Giacomo Quarenghi,Italian,1744,1817,
J. C. Hochnrind,German,,,
Peter Ellmer,German,1785,1873,
"Renner, G.N. & Schuster",German,,,
Hendrik-Dirk Kruseman Van Elten,"American, born Holland",1829,1904,
Garcia,French,,,
Pellerin,French,,,
Charles Goutzwiller,French,1810,1900,
Rudolf Pfnor,French,1824,1909,
Eugène-Samuel Grasset,French,1841,1917,
Pinot & Sagaire,French,,,
Théophile Chafranski,French,19,19,
L'Homme,French,,,
Leveil,French,,,
J. Lemot,French,1847,1909,
Jean Charles Delafosse,French,1734,1789,
"Anonymous, German, 20th century",German,1900,2000,
F. Droimer,German,1912,1912,
Monogrammist CG,German,19,19,
Franz von Hauslab the Younger,Austrian,1798,1883,
Josef Platzer,German,1751,1806,
Felicien Myrbach-Rheinfeld,Austrian,1853,1909,
Johann Oktavian Salver,German,1732,1788,
Joseph Martin Nideröst,Swiss,1778,1801,
Johann Baptist Modler,German,1700,1774,
Nikolaus Gottfried Stuber,German,1688,1749,
Gregorio de' Ferrari,Italian,1647,1726,
Hans Ganting the Younger,Swiss,1586,1634,
Ennemond Alexandre Petitot,French,1727,1801,
Carl Hårleman,Swedish,1700,1753,
Erik Gunnar Asplund,Swedish,1885,1940,
Peter Toft,Danish,1825,1901,
Carl Frederick Adelcrantz,Swedish,1716,1796,
Francesco Borromini,Italian,1599,1667,
Arata Izozaki,Japanese,1931,9999,
Jean François Janinet,French,1752,1814,
Claude Nicolas Ledoux,French,1736,1806,
Louis Lafitte,French,1770,1828,
Philippe Jacques de Loutherbourg,French,1740,1812,
Georges Lallemand,French,1575,1636,
Etienne de Lavallée-Poussin,French,1733,1793,
Pablo Esteban O'Higgins,American,1904,1983,
Jean Jacques Lequeu,French,1757,1825,
"Anonymous, Chinese, 19th century",Chinese,1800,1900,
François Soufflot le Neuveu,French,1752,1802,
Antoine Le Pautre,French,1621,1679,
Boris Grigoriev,Russian,1886,1939,
Adolf Jossifowitsch Charlemagne,Russian,1826,1901,
"Anonymous, Italian, 16th century",Italian,1500,1600,
Jan Gossart (called Mabuse),Netherlandish,1478,1532,
Theodoor van Thulden,Flemish,1606,1669,
Jacob de Wit,Dutch,1695,1754,
Charles Baugniet,Belgian,1814,1886,
Adolphe Lalauze,French,1838,1906,
Chamerot et Renouard,French,,,
Erasmus Hornick,Netherlandish,1501,1583,
Jean François Dunant,French,1780,1858,
François Maradan,French,,,
Alexandre-Balthazar-Laurent Grimod de la Reynière,French,1758,1837,
Jury des Gourmands,French,,,
Edouard Hocquart,French,,,
Alexandre Joseph Desenne,French,1785,1827,
Bulla,French,1815,1877,
Alexandre-Marie Colin,French,1798,1875,
José María Marés,Spanish,1850,1870,
"Anonymous, Spanish, 19th century",Spanish,1800,1900,
Raymond de La Fage,French,1650,1684,
Louis Jean Desprez,French,1743,1804,
Juste Nathan Boucher,French,1736,1782,
Louis Joseph Le Lorrain,French,1715,1759,
Clément Pierre Marillier,French,1740,1808,
Pierre Moreau,French,1715,1798,
Charles Pierre Joseph Normand,French,1765,1840,
Gilles-Marie Oppenord,French,1672,1742,
Jan van der Heyden,Dutch,1637,1712,
Pierre Ozanne,French,1737,1813,
L.N. Percenet,French,1736,,
Lorenzo de' Ferrari,Italian,1680,1744,
Alessandro Magnasco,Italian,1667,1749,
Giovanni Battista Paggi,Italian,1554,1627,
Domenico Piola,Italian,1627,1703,
Paolo Gerolamo Piola,Italian,1666,1724,
Pierre Puget,French,1620,1694,
Giovanni Agostino Ratti,Italian,1699,1795,
Bernardo Strozzi,Italian,1581,1644,
Wagner,French,19,19,
Emile-Jacques Gilbert,French,1793,1874,
Louis Baptiste Gilbert,French,,,
Nicolas Perelle,French,1631,1695,
"Jacques Roussin, Lyon",French,,,
Grégoire Huret,French,1606,1670,
D. V. Welthem,French?,1600,1700,
Pierre Lefevre,French,17,17,
G. Autouers,French,1600,1700,
Francesco Piranesi,Italian,1758,1810,
Johann Michael Rottmayr,Austrian,1654,1654,
Domenico Corvi,Italian,1721,1803,
"Anonymous, Italian, Sienese, 16th century",Italian,1500,1600,
Clement-August Andrieux,French,1829,1880,
"Antonio da Sangallo, the Younger",Italian,1484,1546,
"Anonymous, French, 16th century",French,1500,1600,
Marcus Gheeraerts the Elder,Flemish,1510,1600,
Hans Speckaert,Netherlandish,,1577,
Crispijn de Passe the Elder,Netherlandish,1564,1637,
Jacob Roer,Dutch,,,
Jan Antoine Coxie,Flemish,1650,1720,
Nicolaas van der Horst,Flemish,1587,1646,
Pieter Tanjé,Dutch,1706,1761,
Gerard de Lairesse,Dutch,1641,1711,
"Anonymous, Italian, 18th or early 19th century",Italian,1700,1850,
Sir William Dugdale,British,1605,1605,
Giorgio Ghisi,Italian,1515,1582,
Lucrezia Gonzaga,Italian,1522,1576,
Albert Belleroche,"British, Welsh",1864,1944,
Pannier et Cie.,French,1800,1900,
Aubert et Cie,French,1829,1929,
Bauger et Cie,French,,,
Christoph Nathe,German,1753,1806,
Jean Henry Marlet,French,1771,1847,
Jean Frédéric Schall,French,1752,1825,
Blin le Jeune,French,,,
Michele Lucchese,Italian,1534,1564,
Jean-Baptiste Joseph Wicar,French,1762,1834,
Baldassarre Franceschini (il Volterrano),Italian,1611,1690,
Adrien van der Bogaerts,Dutch,1617,1622,
Jacob Denys,Flemish,1644,1708,
Willem Arondeus,Dutch,1894,1943,
René van Ginderk (?),Belgian?,1900,1999,
Godfried Maes,Flemish,1649,1700,
Domenichino (Domenico Zampieri),Italian,1581,1641,
Jan Goeree,Dutch,1670,1731,
Hans Pleydenwurff,German,1472,1472,
Charles-Frédéric Henriet,French,1826,1918,
A. Lévy,French,,,
Armand Cassagne,French,19,19,
Léopold Desbrosses,French,,,
Alfred Taïée,French,1820,1820,
Maxime-François-Antoine Lalanne,French,1827,1886,
Alfred Delauney,French,,,
Alfred Portier,French,,,
Jules-Jacques Veyrassat,French,1828,1893,
Marcellin-de Groiseilliez,French,1837,1880,
Léon Le Gouaëbe de Bellée,,,,
Henri-Joseph Harpignies,French,1819,1916,
Jean Desbrosses,French,,,
Auguste Pequegnot,French,1819,1878,
"Anonymous, Central-Italian, 16th century",Italian,1500,1600,
Peter Schmidt von Lichtenberg,German,1585,1620,
Georg Lemberger,German,1490,1540,
Carl Wilhelm Kolbe,German,1759,1835,
Pompeo Batoni,Italian,1708,1787,
Master of the Playing Cards,German,1425,1450,
Master ES,German,1445,1467,
Marcellin Desboutin,French,1823,1902,
"Francisco Herrera, the Younger (""El Mozo"")",Spanish,1627,1685,
Wenzel von Olmutz,German,1481,1500,
Master W with Key,Netherlandish,1465,1490,
Master IAM of Zwolle,Netherlandish,1465,1495,
Master FVB,Netherlandish,1475,1500,
Master bxg,German,1470,1490,
Diego Lopez de Escuriaz,Spanish,1587,1623,
Eugenio Lucas,Spanish,1817,1870,
Mariano Salvador de Maella,Spanish,1739,1819,
"Anonymous, Spanish, 17th century",Spanish,1600,1700,
Bartolomé Estebán Murillo,Spanish,1617,1682,
Jost de Negker,Netherlandish,1480,1546,
Pedro Orrente,Spanish,1580,1645,
Francisco Pacheco,Spanish,1564,1644,
Luis Paret y Alcazar,Spanish,1746,1799,
Antonio de Pereda,Spanish,1611,1678,
Genaro (Jenaro) Pérez Villaamil,Spanish,1807,1854,
Pedro del Pozo,Spanish,18,1785,
"Anonymous, Italian, 17th or 18th century",Italian,1600,1799,
Jusepe de Ribera (called Lo Spagnoletto),Spanish,1591,1652,
Lucas van Leyden,Netherlandish,1494,1533,
Augustin Hirschvogel,German,1503,1553,
Michael Ostendorfer,German,1520,1549,
Master HL,German,1511,1533,
Virgil Solis,German,1514,1562,
Nicolaas Hogenberg,Netherlandish,1500,1500,
"Anonymous, Italian, Roman-Bolognese, 17th century",Italian,1600,1700,
Allaert Claesz.,Dutch,1520,1555,
Jan van Scorel,Netherlandish,1495,1562,
